sheet,name,brand_usp,ingredients,serving_size_g,allergens,shelf_life,small_pack_g,large_pack_g,manufacturer,mrp,status,grammage,energy_kcal,protein_g,carbohydrate_g,total_sugar_g,added_sugar_g,dietary_fibre_g,total_fat_g,saturated_fat_g,unsaturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,calcium_mg,energy_pct,protein_pct,added_sugar_pct,dietary_fibre_pct,total_fat_pct,saturated_fat_pct,trans_fat_pct,sodium_pct,calcium_pct
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,20,96.42,1.48,13.58,0.272,0,0.7,4.02,1.88,,0,0,238.5,,4.8,2.7,,2.3,6,8.5,,11.9,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,30,144.63,2.22,20.37,0.41,0,1.05,6.03,2.82,,0,0,357.75,,7.23,4.11,,3.5,9,12.82,,17.9,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,35,168.73,2.59,23.76,0.47,0,1.22,7.03,3.29,,0,0,417.37,,,,,,,,,,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,40,192.84,2.96,27.16,0.54,0,1.4,8.04,3.76,,0,0,477,,9.64,5.48,,4.67,12,17.09,,23.85,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,45,216.95,3.3,30.56,0.63,0,1.58,9.05,4.23,,0,0,536.6,,10.9,6.2,,5.3,13.5,19.2,,26.8,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,47,226.58,3.47,31.91,0.639,0,1.645,9.447,4.42,,0,0,560.475,,,,,,,,,,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,60,289.26,4.44,40.74,0.81,0,2.1,12.06,5.64,,0,0,715.5,,,,,,,,,,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,100,482.1,7.4,67.9,1.36,0,3.5,20.1,9.4,,0,0,1192.5,,24.1,13.7,,11.7,30,42.7,,59.6,
Launched products,Chatpata Millet Finger,1) No palm oil | 2) Source of protein | 3) Source of dietary fibre | 4) Roasted,"Jowar flour, corn flour, corn grits, rice flour, masala seasoning, edible vegetable oil (rice bran oil), tapioca starch, gram flour, iodised salt, black salt, red chilli powder.

Seasoning - Spices and spices extract (ginger powder, clove powder, cumin powder, fennel powder, coriander powder), dehydrated vegetable powder (tomato, garlic, lemon & onion), dry mango powder, yeast extract powder, sugar, maltodextrin, dextrose, glucose powder, acidity regulators (INS 330, INS 296), anticaking agent (INS 551), flavour enhancer (INS 635), paprika oleoresin (INS 160c).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",30,"This product does not contain any allergens. 
It is made in a facility that processes products 
containing gluten,milk and its derivatives
nuts, and soya.",3 months,40,120,"AMRUD SNACK LIMITED
GALA NO.1, B2 & B3, BHARAT
COMPOUND, SURVEY NO.219, OPP. DODHIA
PETROL PUMP, KASHIMIRA, MIRA ROAD (E).
DIST. THANE, MAHARASHTRA- 401107

FSSAI Lic. No. 11517020000417","40grams for 45/- 
(1.11/- per gram)

120gm for 125/-
(per gm 1.04/-)",not_launched,120,578.52,8.88,81.48,1.63,0,4.2,24.12,11.28,,0,0,1431,,28.9,16.4,,14,36,51.2,,71.55,
Launched products,Garlic Bread Chickpea Popped Chips,Rich in Protein | Rich in Dietary Fibre | Not Baked | Not Fried,"Chickpea, rice, potato, starch, edible vegetable oil (sunflower oil).

Seasoning: Dehydrated vegetable powder (garlic, onion), spices and spice extract, herbs (oregano), cheese powder, whole milk powder, edible vegetable oil (sunflower oil), salt, sugar, maltodextrin, acidity regulators (INS 262(i), INS 330), anti-caking agents (INS 551, INS 341(iii)).
CONTAINS NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCE(S)",30,Contains milk and milk products.,6 months,32,63,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","50/- for 32gms
1.56/- per gram

95/- for 63gms
1.5/- per gram ",not_launched,30,120.87,3.237,21.057,1.143,0,2.349,2.631,0.81,1.81,0,0,299.19,,6,6,,7.8,3.9,3.7,,15,
